Tweet,Person
Under Donald Trump: - Job growth has slowed - Manufacturing is worse off - Income inequality is higher than ever He is squandering the growing Obama-Biden economy that he inherited — just like he has squandered everything else that he has inherited in his life.,Biden
I’ve worked like the devil to earn the vote of the African American community. I don’t expect anything. I plan to earn the Black vote. And I’m here to ask for it. #DemDebate,Biden
Donald Trump is the most corrupt president we’ve ever had — and the American people deserve to know what he’s hiding in his tax returns.,Biden
"I'm about to take the stage for tonight's town hall in Las Vegas, Nevada. Tune in to ",Biden
America's teachers and school personnel have been forced to make ends meet with too little pay and too few resources to educate our kids. That'll change in my administration. Thank you ,Biden
Five. That’s how many times Senator Sanders voted AGAINST the Brady background check bill that has kept 3 million firearms out of dangerous hands. We need a president who will stand up to the ,Biden
— not one who stands with them against lifesaving gun safety measures. #DemDebate,Biden
"We fall into the same pattern every time: a senseless act of violence occurs, politicians offer “thoughts and prayers,” and calls for reform fade away until the next tragedy inevitably occurs. I’m sick and tired of saying “enough is enough.” We can’t go on like this any longer.",Biden
"and pass real reform to end our gun violence epidemic. That starts with universal background checks, a ban on assault weapons, and holding gun manufacturers accountable. I've beaten the gun lobby twice — and I'll do it again as president.",Biden
Medicare should be able to negotiate prices with drug companies. #DemDebate,Biden
"If you're a teacher or a firefighter, you're probably paying more in taxes than Amazon or Netflix. We've got to make sure corporations pay their fair share.",Biden
No president can take our country to war without the informed consent of the American people. #DemDebate,Biden
Equal pay for equal work is common sense — and long overdue. That's why the Lilly Ledbetter Fair Pay Act was the first law that the Obama-Biden Administration signed 11 years ago today. We have to continue the fight until we close the gender pay gap once and for all.,Biden
"Happy Lunar New Year to all those celebrating throughout the country. I'm grateful for the contributions that the AAPI community has made to enrich America's diversity. I hope the Year of the Rat brings good fortune, health, and happiness to all.",Biden
Weapons of war have no place in our communities. It’s time we take on the ,Biden
and ban assault weapons for good.,Biden
"When Trump discarded the Iran nuclear deal he promised it would produce a “better” one and curb Iranian aggression—the reverse happened. Iran has restarted its nuclear program and become more provocative. I’ll return to smart, disciplined diplomacy to address the threats we face.",Biden
In 2009 President Obama asked me to oversee our effort to bring home our combat troops. I’ll put my record and my judgment up against anyone in terms of who is the right person to be Commander in Chief. #DemDebate,Biden
"If we don’t write the global rules of the road for trade, cyber, climate change, and so much more, they may be written by China or other nations that don’t share our values. #DemDebate",Biden
"47 years ago today, #RoevWade recognized a woman's constitutional right to choose — but that right is under attack across the country. We must codify Roe into law and fight back against any state laws that violate it.",Biden
No one should shed a tear for Qassem Soleimani. But Trump’s reckless escalation and thoughtless withdrawal from the Iran nuclear deal has made America less safe. We need a return to diplomacy and a steady hand at the wheel to navigate an increasingly dangerous world. #DemDebate,Biden
"I wouldn’t meet with Kim Jong Un without pre-conditions. By meeting with him, Donald Trump gave Kim Jong Un what he was looking for: legitimacy. I will work closely with our allies and hold China accountable for its lack of pressure on the Kim regime’s bad behavior. #DemDebate",Biden
"I’m going to hold off on commenting on the news tonight until we know more, but there is one thing I will say: Jill and I are keeping our troops and Americans overseas in our prayers. We hope you’ll keep them in yours.",Biden
Jill and I are sending our prayers to the Bryant family and to everyone who lost loved ones in today’s crash. It’s a reminder of how special — and fragile — life is. And it’s a reminder that we’ve got to make every day count.,Biden
There’s enormous opportunity once we get rid of Donald Trump. We can: - Address the climate emergency - Build a more inclusive middle class - Build on Obamacare - Ensure our government works for everyone — not just the powerful,Biden
"Republicans have savaged my only surviving son. They’ve spread lies about me that networks won’t even carry. It doesn’t matter if they go after me. As President of the United States, I have to be able to not only fight — I have to heal. And that’s what I’ll do if I’m elected.",Biden
